"South Parade, Chelsea",58961
"South Park, Sands End",69615
"South Quay East, Canary Wharf",9867
"South Wharf Road, Paddington",142598
"Southampton Place, Holborn",106911
"Southampton Street, Strand",146758
"Southern Grove, Bow",41806
"Southerton Road, Hammersmith",67660
"Southwark Station 1, Southwark",79349
"Southwark Station 2, Southwark",110139
"Southwark Street, Bankside",53264
"Southwick Street, Paddington",85841
"Spanish Road, Clapham Junction",17579
"Speakers' Corner 1, Hyde Park",83433
"Speakers' Corner 2, Hyde Park",64375
"Spencer Park, Wandsworth Common",27282
"Spindrift Avenue, Millwall",38457
"St John's Crescent, Brixton",34260
"St Martins Close, Camden Town",35000
"St Mary's Hospital, Paddington",163152
"St. Bride Street, Holborn",155509
"St. Chad's Street, King's Cross",80256
"St. George Street, Mayfair",95699
"St. George's Square, Pimlico",111247
"St. James's Square, St. James's",265956
"St. John Street, Finsbury",52282
"St. John's Park, Cubitt Town",17864
"St. John's Road, Clapham Junction",84220
"St. John's Wood Church, The Regent's Park",57486
"St. John's Wood Road, St. John's Wood",45489
"St. Katharine's Way, Tower",93349
"St. Luke's Church, Chelsea",90673
"St. Mark's Road, North Kensington",71933
"St. Martin's Street, West End",87723
"St. Mary & St. Michael Church, Stepney",22230
"St. Mary Axe, Aldgate",102326
"St. Peter's Terrace, Fulham",97818
"Stainsby Road , Poplar",48142
"Stamford Street, South Bank",123110
"Stanhope Gate, Mayfair",55590
"Stanley Grove, Battersea",40438
"Star Road, West Kensington",61546
"Stebondale Street, Cubitt Town",27261
"Stephendale Road, Sands End",119618
"Stepney Green Station, Stepney",126626
"Stewart's Road, Wandsworth Road",32069
"Stonecutter Street, Holborn",107114
"Store Street, Bloomsbury",108762
"Storey's Gate, Westminster",294611
"Strand, Strand",103395
"Strata, Elephant & Castle",119383
"Stratford Station, Stratford",76246
"Sugden Road, Clapham",49085
"Sumner Place, South Kensington",68849
"Sun Street, Liverpool Street",34665
"Surrey Lane, Battersea",64683
"Sutton Street, Shadwell",106325
"Swan Street, The Borough",83598
"Tachbrook Street, Victoria",98273
"Tallis Street, Temple",127164
"Tanner Street, Bermondsey",143733
"Tate Modern, Bankside",109349
"Tavistock Place, Bloomsbury",89376
"Tavistock Street, Covent Garden",164208
"Taviton Street, Bloomsbury",95210
"Temple Gardens, Temple",38872
"Teversham Lane, Stockwell",40207
"Teviot Street, Poplar",14220
"The Guildhall, Guildhall",66386
"The Metropolitan, Portobello",28214
"The Tennis Courts, The Regent's Park",105026
"The Vale, Chelsea",123413
"Theobald's Road , Holborn",121408
"Thessaly Road North, Nine Elms",11725
"Thorndike Close, West Chelsea",60111
"Thornfield House, Poplar",5196
"Thurtle Road, Haggerston",35519
"Timber Lodge, Queen Elizabeth Olympic Park",85951
"Tooley Street, Bermondsey",276261
"Torrens Street, Angel",85781
"Tower Gardens , Tower",261554
"Tower Wharf, Bermondsey",28569
"Trebovir Road, Earl's Court",77671
"Triangle Car Park, Hyde Park",324335
"Turquoise Island, Notting Hill",103966
"Twig Folly Bridge, Mile End",99091
"Tyers Gate, Bermondsey",82821
"Tysoe Street, Clerkenwell",136949
"Union Grove, Wandsworth Road",76274
"Union Street, The Borough",86877
"Upcerne Road, West Chelsea",57625
"Upper Bank Street, Canary Wharf",94743
"Upper Grosvenor Street, Mayfair",34473
"Upper Richmond Road, Putney",25853
"Usk Road, Clapham Junction",55798
"Vauxhall Bridge , Pimlico",60239
"Vauxhall Cross, Vauxhall",223616
"Vauxhall Street, Vauxhall",54220
"Vauxhall Walk, Vauxhall",66405
"Vereker Road, West Kensington",93437
"Vicarage Crescent, Battersea",108447
"Vicarage Gate, Kensington",43106
"Victoria & Albert Museum, South Kensington",69602
"Victoria Park Road, Hackney Central",127393
"Victoria Rise, Clapham Common",30208
"Victory Place, Walworth",42172
"Vincent Square, Westminster",46184
"Vincent Street, Pimlico",70345
"Walmer Road, Avondale",36474
"Walnut Tree Walk, Vauxhall",67322
"Walworth Square, Walworth",48597
"Wandsworth Rd, Isley Court, Wandsworth Road",73214
"Wandsworth Town Station, Wandsworth",93169
"Wansey Street, Walworth",594
"Wapping High Street, Wapping",68300
"Wapping Lane, Wapping",103254
"Wardour Street, Soho",189428
"Warren Street Station, Euston",172244
"Warwick Avenue Station, Maida Vale",121642
"Warwick Road, Olympia",87959
"Warwick Row, Westminster",92506
"Warwick Square, Pimlico",82043
"Waterloo Bridge, South Bank",62672
"Waterloo Place, St. James's",137284
